#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
83,"Weight of Love","The Black Keys",60,151,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock, roots rock","Rock, Pop, Blues","Turn Blue",2014-05-09,06:50,28,55,3,89,13,0,10,-9,D Major,4,2023-10-11,3xMQOd1C3TXsjQ3pmzOmkC,"Nonesuch",10B,https://p.scdn.co/mp3-preview/4e644d77e831952530367045d21174eb9ca62e3b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511af8fb0d8859055d35d2290f
84,"Every Other Freckle","alt-J",0,144,"indie rock, indietronica, modern alternative rock, modern rock, rock","Rock, Pop","This Is All Yours",2014-09-22,03:36,53,70,63,4,52,0,10,-8,A Major,4,2023-10-11,4oQb8W4UyZNDcMopArPads,"Infectious",11B,,https://i.scdn.co/image/ab67616d000048518691e2bb29d27aa63c771c5c
85,"Calm Like You","The Last Shadow Puppets,Alex Turner,Miles Kane",62,128,"baroque pop, modern rock, sheffield indie, british indie rock, garage rock","Pop, Rock","The Age Of The Understatement",2008-04-19,02:28,35,76,1,0,58,0,10,-7,F#/G♭ Minor,3,2023-10-11,0b70nZ5kdm09VlyfHLNjlL,"Domino Recording Co",11A,https://p.scdn.co/mp3-preview/f3059d8845e2f248fe9792c1709b20979f0da61c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485156e4e3118af9dec4a5670a33
86,"Homemade Dynamite","Lorde",64,107,"art pop, metropopolis, nz pop, pop","Pop, Electronic","Melodrama",2017-06-16,03:09,77,43,29,0,27,0,0,-5,A#/B♭ Major,4,2023-10-11,02oAUzv4M0ItuTDy2RT3IT,"Universal Music New Zealand Limited",6B,,https://i.scdn.co/image/ab67616d00004851f8553e18a11209d4becd0336
87,"Locket","Crumb",0,98,"indie garage rock, neo-psychedelic","Rock, Folk/Acoustic","Locket",2017-06-23,05:18,39,48,76,73,8,0,0,-10,C♯/D♭ Major,4,2023-10-11,0bxcUgWlOURkU6lZt4zog0,"Crumb Records",3B,,https://i.scdn.co/image/ab67616d000048516147b24815415ae922d2a88f
88,"Plug in Baby","Muse",69,136,"alternative rock, modern rock, permanent wave, rock","Rock","Origin of Symmetry",2001-00-00,03:38,41,97,0,0,35,0,10,-4,D Major,4,2023-10-11,2UKARCqDrhkYDoVR4FN5Wi,"WM UK",10B,https://p.scdn.co/mp3-preview/f08553b5ecb9e977133edb1da34ccf5c8c40cb79?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515225e9931a558f6d2f541a7d
89,"You Only Live Once","The Strokes",75,121,"alternative rock, garage rock, modern rock, permanent wave, rock","Rock","First Impressions Of Earth",2006-01-03,03:09,63,91,2,59,97,0,10,-2,B Major,4,2023-10-11,4fPBB44eDH71YohayI4eKV,"RCA Records Label",1B,https://p.scdn.co/mp3-preview/4e65165f1a88d641bec5f181ffb8ba4d516a9c39?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516898a982ff3c6049ba52586c
90,"In My Head","Bedroom",0,151,"small room","Rock","In My Head",2017-01-12,05:54,58,61,17,92,18,0,10,-14,A Major,4,2023-10-11,2nr9WZdKntw9a5muEC3gOk,"no label company",11B,,https://i.scdn.co/image/ab67616d000048514acc69ee311bd5c736c88f34
91,"Miracle Aligner","The Last Shadow Puppets",64,113,"baroque pop, modern rock, sheffield indie","Pop, Rock","Everything You've Come To Expect (Deluxe Edition)",2016-12-02,04:05,56,72,1,0,86,0,20,-9,F#/G♭ Minor,4,2023-10-11,4iwpCp7qdDLngGI3gsVTza,"Domino Recording Co",11A,https://p.scdn.co/mp3-preview/123d2cdb168cddd2f614eedb5759e1e77b175905?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485199845928b10d57ec9f95e953
92,"Paprika","Japanese Breakfast",0,120,"art pop, eugene indie, indie pop, indie rock, philly indie","Pop, Rock","Jubilee",2021-06-04,03:40,51,71,2,0,41,0,30,-5,E Major,4,2023-10-11,7hINOWdRK2rAWDKmjXTHth,"Dead Oceans",12B,,https://i.scdn.co/image/ab67616d00004851fc6b64a6baeac1ea56cf7437
93,"The Louvre","Lorde",66,123,"art pop, metropopolis, nz pop, pop","Pop, Electronic","Melodrama",2017-06-16,04:31,66,38,24,1,13,0,0,-10,C Major,4,2023-10-11,5q4BpnMrYEFzLO0dYODj6J,"Universal Music New Zealand Limited",8B,,https://i.scdn.co/image/ab67616d00004851f8553e18a11209d4becd0336
94,"Lipstick On The Glass","Wolf Alice",53,94,"indie rock, modern alternative rock, modern rock, scottish rock","Rock","Blue Weekend",2021-06-04,04:07,30,64,10,15,19,0,10,-6,G Major,4,2023-10-11,0jGAm66ie0uOt7bYmXG64f,"Dirty Hit",9B,https://p.scdn.co/mp3-preview/80f43298df35ec2c0d25535ab10c41c5cca3ef4d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e11f1ac4d5dce1bc5fec6703
95,"Motion Sickness","Phoebe Bridgers",80,107,"indie pop, la indie, pov: indie","Pop","Stranger in the Alps",2017-09-22,03:49,65,55,77,4,62,0,0,-9,C♯/D♭ Major,4,2023-10-11,5xo8RrjJ9CVNrtRg2S3B1R,"Dead Oceans",3B,https://p.scdn.co/mp3-preview/24014ce72466a645baf03cee71fb065bfffef740?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485168b90c3b34c3ac22856ddab8
96,"Dance Little Liar","Arctic Monkeys",61,100,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","Humbug",2009-08-20,04:43,54,61,6,77,54,0,10,-9,C♯/D♭ Minor,4,2023-10-11,3u16Clmxz7dJpnQWXXynok,"Domino Recording Co",12A,https://p.scdn.co/mp3-preview/863131dd810ed3673cbf6ba9e2c628d6cb8780ac?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f65d720a5d70dbb93e96d528
97,"Delicious Things","Wolf Alice",52,121,"indie rock, modern alternative rock, modern rock, scottish rock","Rock","Blue Weekend",2021-06-04,05:04,47,50,15,2,28,0,20,-6,D Major,4,2023-10-11,6pAfAhSBOeNi5Tw8AfB5RQ,"Dirty Hit",10B,https://p.scdn.co/mp3-preview/4d80dcadc572445c58af3877982734bcbb6f172f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e11f1ac4d5dce1bc5fec6703
98,"Broken Sleep","Agnes Obel",51,127,"chamber pop","Pop","Myopia",2020-02-21,04:55,57,27,95,3,20,0,10,-15,E Minor,4,2023-10-11,6ilOjlJMBMSAWolY3xHZ1i,"Deutsche Grammophon (DG)",9A,,https://i.scdn.co/image/ab67616d000048517da3504b2ba9f1ecb43e0ac2
99,"Selfless","The Strokes",72,122,"alternative rock, garage rock, modern rock, permanent wave, rock","Rock","The New Abnormal",2020-04-10,03:42,54,68,19,0,9,0,0,-4,E Major,4,2023-10-11,2t0wwvR15fc3K1ey8OiOaN,"Cult Records/RCA Records",12B,https://p.scdn.co/mp3-preview/2d74e6d6368043c0ad8c601f94ea64743bb86e7c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bfa99afb5ef0d26d5064b23b
100,"The Last Man on Earth","Wolf Alice",54,146,"indie rock, modern alternative rock, modern rock, scottish rock","Rock","Blue Weekend",2021-06-04,04:21,25,29,31,12,12,0,10,-9,G Major,4,2023-10-11,6z6Nd3M3D38XJMnkEC0GZh,"Dirty Hit",9B,https://p.scdn.co/mp3-preview/d8326e66d0caf5926c79bc1c034fe671690ef496?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e11f1ac4d5dce1bc5fec6703
101,"The Jeweller's Hands","Arctic Monkeys",57,97,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","Humbug",2009-08-20,05:44,51,80,14,8,39,0,10,-8,C Minor,4,2023-10-11,4PDPn7HosIycoXeoeibFc5,"Domino Recording Co",5A,https://p.scdn.co/mp3-preview/cff841a8a3bae455af693c61488a7b5bb32c8c9c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f65d720a5d70dbb93e96d528
102,"So Good At Being in Trouble","Unknown Mortal Orchestra",68,104,"art pop, indie rock, indie soul, indietronica, kiwi rock, neo-psychedelic, portland hip hop, psychedelic pop","Pop, Rock, R&B, Folk/Acoustic, Hip Hop","II",2013-02-05,03:50,83,44,4,88,59,0,10,-10,C Major,4,2023-10-11,2lwi35A2ym3FAmSlvOGnQp,"Jagjaguwar",8B,https://p.scdn.co/mp3-preview/5ea9ece248e05997663c4855f478605024a06910?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b3e4bd5cefedefd6d443e418
103,"Philadelphia","alt-J",51,97,"indie rock, indietronica, modern alternative rock, modern rock, rock","Rock, Pop","The Dream",2022-02-11,03:38,50,42,13,1,18,0,20,-10,A Minor,3,2023-10-11,5gtCLYP5MBUjehk0xWs2vH,"Infectious Music",8A,https://p.scdn.co/mp3-preview/a7ec7076ad836c23c4e2321685e85167a75ea6c5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ecfbff2678cf234f12a750ea
104,"Slow Show","The National",54,150,"chamber pop, indie folk, indie rock, indietronica, modern rock","Pop, Folk/Acoustic, Rock","Boxer",2007-05-21,04:08,57,70,66,86,51,0,10,-8,E Major,4,2023-10-11,3roye2IJK1EWshYzqtbFHs,"Beggars Banquet",12B,https://p.scdn.co/mp3-preview/922b0cb866d7ab1832c78459f6f6217c883ae5df?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c7a2d8675f75bc64fbf137d2
105,"Helen of Troy - Bonus Track","Lorde",50,82,"art pop, metropopolis, nz pop, pop","Pop, Electronic","Solar Power (Deluxe Edition)",2021-11-05,02:51,61,28,91,0,51,10,10,-13,A Major,4,2023-10-11,5luI0qmsWNYRRTJCWn8rcb,"Universal Music New Zealand Limited",11B,,https://i.scdn.co/image/ab67616d00004851a5603d487cfa2c30a05cdfaa
106,"Simulation Swarm","Big Thief",0,105,"art pop, brooklyn indie, chamber pop, countrygaze, indie pop, indie rock, singer-songwriter, small room","Pop, Rock, Folk/Acoustic","Simulation Swarm",2022-01-19,04:12,70,58,45,0,67,0,10,-9,C♯/D♭ Major,4,2023-10-11,0kVBi81VO9ewtpOlSvRLOV,"4AD",3B,,https://i.scdn.co/image/ab67616d0000485153fd99dc169ed7e89a72a407
107,"The Hardest Cut","Spoon",49,165,"alternative rock, austindie, indie rock, modern rock","Rock, Folk/Acoustic","Lucifer On The Sofa",2022-02-11,03:13,67,68,14,0,81,10,0,-5,G Major,4,2023-10-11,4ZifmvedzdccUUuiGDAbTU,"Matador",9B,https://p.scdn.co/mp3-preview/b9de3b94a255887fae1a7a3078f30a166537b500?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf9da915fb3a39eae51e6318
108,"stabilise","Nilüfer Yanya",41,94,"art pop, uk alternative pop","Pop","PAINLESS",2022-03-04,03:32,66,91,13,1,76,0,20,-8,B Minor,4,2023-10-11,7wAqJLfBM9hDgJI3m41pLn,"ATO Records",10A,https://p.scdn.co/mp3-preview/91f07a274026a9231d53ac4145c60f13b372fee8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485109deebfa040d94e1a20f241a
109,"Losing My Mind","alt-J",23,130,"indie rock, indietronica, modern alternative rock, modern rock, rock","Rock, Pop","The Dream (Deluxe)",2022-04-22,04:42,47,35,79,9,35,0,10,-14,D Major,4,2023-10-11,7v8gDWI6O0szcs5fG40ZJP,"Infectious Music",10B,https://p.scdn.co/mp3-preview/a9cbd318070e06fccfe4fa407636a0bede80a232?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485194965d81585296e734bcbfdd
