#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
227,"Mission","Alex G",51,114,"philly indie, pov: indie","Rock, Pop","God Save The Animals",2022-09-23,03:05,77,35,20,0,27,0,10,-9,A#/B♭ Major,4,2023-10-11,2nxRNNXYZsiebwptaGgUTa,"Domino Recording Co",6B,https://p.scdn.co/mp3-preview/2002258e8c2a8fd69220c0202116d7a05fea14fe?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515cce078fbf09bbe8211caf12
228,"The Car","Arctic Monkeys",62,94,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","The Car",2022-10-21,03:18,43,37,78,0,24,0,10,-12,E Minor,3,2023-10-11,0C6dSPCqwKqwos6s1CrDrh,"Domino Recording Co",9A,https://p.scdn.co/mp3-preview/063efa4650c5f00077ebce2574ebe001555facbe?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485107823ee6237208c835802663
229,"Pomeranian Spinster","Alvvays",32,175,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie","Pop, Rock","Blue Rev",2022-10-07,03:24,11,94,0,0,11,0,80,-3,A Major,4,2023-10-11,5rRZQ7wtLln4aC9QaEq4Cm,"Transgressive",11B,https://p.scdn.co/mp3-preview/452899a334395785b9bcb6b8cc63987aff64f101?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485128f1030e315741f2708da82f
230,"No Hard Feelings","Wolf Alice",57,127,"indie rock, modern alternative rock, modern rock, scottish rock","Rock","Blue Weekend",2021-06-04,02:35,68,25,81,30,65,0,10,-14,D Major,4,2023-10-11,6eJaTm3sfYirbFpibBhnRO,"Dirty Hit",10B,https://p.scdn.co/mp3-preview/f4ea8588d3f05e8d90245fe9ffa098147af9dde6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e11f1ac4d5dce1bc5fec6703
231,"Maps","Yeah Yeah Yeahs",72,120,"alternative dance, alternative rock, art pop, chamber pop, dance-punk, garage rock, indie rock, modern rock, neo-synthpop, new rave","Rock, Pop","Fever To Tell (Deluxe Remastered)",2003-04-29,03:39,50,94,0,32,12,0,50,-5,G Major,4,2023-10-11,0hDQV9X1Da5JrwhK8gu86p,"Yeah Yeah Yeahs - Fever to Tell PS",9B,,https://i.scdn.co/image/ab67616d000048511b1cb4ef0f096f9d66fc3dc6
232,"Stevie","Warpaint",43,66,"alternative dance, art pop, chamber pop, dance-punk, dream pop, electronica, indie rock, la indie, modern dream pop, neo-synthpop, new rave, shimmer pop","Rock, Pop, Electronic","Radiate Like This",2022-05-06,04:03,31,48,78,54,48,0,10,-8,A Major,3,2023-10-11,2T0sr3TdZw2kH7idOKLzZD,"Heirlooms",11B,,https://i.scdn.co/image/ab67616d00004851b27e2ceb292083c6cd6bcc90
233,"yellow is the color of her eyes","Soccer Mommy",55,161,"art pop, bubblegrunge, indie pop, indie rock, small room","Pop, Rock","color theory",2020-02-28,07:15,37,51,75,13,19,0,10,-7,B Major,4,2023-10-11,5EDBVVqd2ogoG89XVQOvsn,"Loma Vista Recordings",1B,,https://i.scdn.co/image/ab67616d00004851c330e261afcd6e0ae256f3aa
234,"Shark Smile - Edit","Big Thief",64,131,"art pop, brooklyn indie, chamber pop, countrygaze, indie pop, indie rock, singer-songwriter, small room","Pop, Rock, Folk/Acoustic","Shark Smile (Edit)",2017-05-08,03:14,69,74,8,63,67,0,10,-9,F#/G♭ Minor,4,2023-10-11,6exdwZ3EOSCjb11bd6k6Np,"Saddle Creek",11A,https://p.scdn.co/mp3-preview/c6129b602254e93bdbf42a65516345f278012cc0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485174d921c93c3be4a8c6f12a8e
235,"Time Escaping","Big Thief",52,158,"art pop, brooklyn indie, chamber pop, countrygaze, indie pop, indie rock, singer-songwriter, small room","Pop, Rock, Folk/Acoustic","Dragon New Warm Mountain I Believe In You",2022-02-11,03:48,67,88,75,0,91,10,10,-6,A#/B♭ Minor,4,2023-10-11,32k3OLmeIWe93KY0QzMmZX,"4AD",3A,https://p.scdn.co/mp3-preview/f5e53301e525af645ad8b8207327770c5b807694?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519ec66d199c19d227f5c37a68
236,"Leviathan","Everything Everything",39,148,"british indie rock, experimental pop, modern rock, new rave, northern irish indie, shimmer pop","Rock, Pop","Raw Data Feel",2022-05-20,05:20,39,41,43,10,11,0,0,-9,B Minor,4,2023-10-11,40vddco1tg38zcFnG6vL89,"Infinity Industries",10A,https://p.scdn.co/mp3-preview/3363462fc03984d7bbb1004dcac0b5be84d95e4b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851319985d0968916cb82f55df5
237,"I Told You That I Was Afraid","The Beths",27,99,"auckland indie, bubblegrunge, indie rock, kiwi rock, modern power pop, nz indie","Rock, Pop","Expert In A Dying Field",2022-09-16,03:21,40,81,0,0,52,0,10,-10,A Major,4,2023-10-11,7xkDqnsesmTDeMy4JY4QOB,"Carpark Records",11B,https://p.scdn.co/mp3-preview/3fd2bb11d10ea8d983e7f29d3116dff42040d565?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851129c475dae52b04877addc1c
238,"About You","The 1975",83,96,"modern alternative rock, modern rock, pop, pov: indie, rock","Rock, Pop","Being Funny In A Foreign Language",2022-10-14,05:26,42,76,31,80,46,0,0,-7,D Major,4,2023-10-11,1fDFHXcykq4iw8Gg7s5hG9,"Dirty Hit",10B,https://p.scdn.co/mp3-preview/66e8103db129c422b5bdefca973cf9c9e839eeba?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511f44db452a68e229650a302c
239,"Fire In The Driveway","Soccer Mommy",33,180,"art pop, bubblegrunge, indie pop, indie rock, small room","Pop, Rock","Sometimes, Forever",2022-06-24,03:37,38,27,69,1,29,0,10,-10,D Major,4,2023-10-11,6voteeInQ3lnWvxO2bk9rn,"Loma Vista Recordings",10B,,https://i.scdn.co/image/ab67616d00004851af4f070d3683d9b5027059ab
240,"Bros","Wolf Alice",61,126,"indie rock, modern alternative rock, modern rock, scottish rock","Rock","My Love Is Cool",2015-06-22,03:44,58,92,0,46,22,0,20,-8,E Major,4,2023-10-11,2PIcAQiSOayFwJrfWc72Qc,"Dirty Hit",12B,https://p.scdn.co/mp3-preview/cef2b412da443cc0485f7e73e8da8a6d25fd6980?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511355ee57ae4c00720f7dacee
241,"Don't Panic","Coldplay",74,122,"permanent wave, pop","Rock, Pop","Parachutes",2000-07-10,02:16,60,61,21,1,45,0,10,-8,C Major,4,2023-10-11,2QhURnm7mQDxBb5jWkbDug,"Parlophone UK",8B,https://p.scdn.co/mp3-preview/c7db43ba594e878a6471341da462fbbe8eb96e42?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513d92b2ad5af9fbc8637425f0
242,"Certainty","Big Thief",63,77,"art pop, brooklyn indie, chamber pop, countrygaze, indie pop, indie rock, singer-songwriter, small room","Pop, Rock, Folk/Acoustic","Dragon New Warm Mountain I Believe In You",2022-02-11,03:07,61,51,2,1,40,0,20,-9,A Major,4,2023-10-11,3i7XRi2UyvGTdJawJRkVhd,"4AD",11B,https://p.scdn.co/mp3-preview/4591edb320b40bc5fb69d17f6033b3c39bdf863d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519ec66d199c19d227f5c37a68
243,"Switch","Biig Piig",55,170,"indie soul, modern alternative pop","R&B, Pop","Switch",2020-03-31,02:21,59,61,3,12,64,0,10,-9,C♯/D♭ Major,4,2023-10-11,2j5AyPkjugfvw0HWrK1Wvr,"RCA Records Label",3B,https://p.scdn.co/mp3-preview/8e33aceff7d93135a932649f605b78421fa5b9f4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851659be1b124a67bb53c89e7c6
244,"Washing Machine Heart","Mitski",86,106,"brooklyn indie, pov: indie","Rock, Pop","Be the Cowboy",2018-08-17,02:08,61,82,1,51,57,0,40,-4,A Major,4,2023-10-11,3jjsRKEsF42ccXf8kWR3nu,"Dead Oceans",11B,https://p.scdn.co/mp3-preview/041fac0989109cef6031195122ff846cc133691b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c428f67b4a9b7e1114dfc117
245,"It's Not Just Me, It's Everybody","Weyes Blood",56,75,"art pop, chamber pop, experimental folk, experimental pop, indie pop","Pop, Folk/Acoustic","And In The Darkness, Hearts Aglow",2022-11-18,06:16,43,34,86,2,16,0,20,-12,C Major,4,2023-10-11,7G6NU3cp3ufNMEFCI2l90X,"Sub Pop Records",8B,https://p.scdn.co/mp3-preview/b6ebd7d2690a3e6e39c37f16be36b2dc999a4bac?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851db8ab490bcedb6e518c37e6e
246,"Funeral","Phoebe Bridgers",71,171,"indie pop, la indie, pov: indie","Pop","Stranger in the Alps",2017-09-22,03:52,22,26,95,0,31,0,0,-14,B Major,4,2023-10-11,3rJDsZjIaCfJQSqRUvl0BM,"Dead Oceans",1B,https://p.scdn.co/mp3-preview/040660adb58b4218aa5b010c030759ae9b97b5d3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485168b90c3b34c3ac22856ddab8
247,"No Reason","Big Thief",47,79,"art pop, brooklyn indie, chamber pop, countrygaze, indie pop, indie rock, singer-songwriter, small room","Pop, Rock, Folk/Acoustic","Dragon New Warm Mountain I Believe In You",2022-02-11,03:47,46,57,62,0,51,0,30,-7,A Major,4,2023-10-11,2mdaMDbjFxmxQPO90PxT5w,"4AD",11B,https://p.scdn.co/mp3-preview/2eef41739be0ffdbfa0029cbc1bcf874ad007227?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519ec66d199c19d227f5c37a68
248,"Grapevine","Weyes Blood",50,124,"art pop, chamber pop, experimental folk, experimental pop, indie pop","Pop, Folk/Acoustic","And In The Darkness, Hearts Aglow",2022-11-18,05:25,36,40,60,50,9,0,10,-9,E Minor,3,2023-10-11,5BwfV9vNhDfIysUTyuTbuQ,"Sub Pop Records",9A,https://p.scdn.co/mp3-preview/71551c6eb19424692a7de7711cdb9931c35c719d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851db8ab490bcedb6e518c37e6e
249,"Tropic Morning News","The National",52,144,"chamber pop, indie folk, indie rock, indietronica, modern rock","Pop, Folk/Acoustic, Rock","Tropic Morning News",2023-01-18,05:09,56,82,3,1,72,0,0,-7,F#/G♭ Minor,4,2023-10-11,6TZ6vaiyYeMZzPef9hvnZL,"4AD",11A,https://p.scdn.co/mp3-preview/444c4aa854912d1837627c805e8c8f6d16fbb2cd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d4d33ecb7da5ad57306e835f
250,"We Cannot Resist","LUMP,Laura Marling,Mike Lindsay",26,146,"folktronica, british folk, british singer-songwriter, chamber pop, singer-songwriter, ","Folk/Acoustic, Pop","Animal",2021-07-30,04:45,70,45,23,0,26,0,10,-11,C♯/D♭ Major,4,2023-10-11,068ZytZuPeqoSgaffebBVD,"Chrysalis Records",3B,https://p.scdn.co/mp3-preview/54346c5195599f8d267f3cbf79fd9523a0919339?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510dfc8dc0c5815e9cdb0de433
251,"The Garden","Unknown Mortal Orchestra",47,78,"art pop, indie rock, indie soul, indietronica, kiwi rock, neo-psychedelic, portland hip hop, psychedelic pop","Pop, Rock, R&B, Folk/Acoustic, Hip Hop","V",2023-03-17,06:20,51,74,18,1,26,0,0,-5,C♯/D♭ Major,4,2023-10-11,0xUeLKG6g1vGXSlHDsLKAf,"Jagjaguwar",3B,https://p.scdn.co/mp3-preview/f2e850217277b86445b5d03c0a21a2af69962057?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485131b65d25e03fc22dfe5c66e5
252,"Next Of Kin","Alvvays",32,161,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie","Pop, Rock","Alvvays",2014-01-01,03:48,33,90,36,76,61,0,20,-4,A Major,4,2023-10-11,3nQH4MDJDyfYU92zapFxbi,"Royal Mountain Records",11B,https://p.scdn.co/mp3-preview/4193233156152bd2d1bc773bcf7e1962b94b05fa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485114a2349a77ade285c5afffed
253,"cardigan","Taylor Swift",91,130,"pop","Pop","folklore",2020-07-24,03:59,61,58,54,0,55,0,20,-9,C Minor,4,2023-10-11,4R2kfaDFhslZEMJqAFNpdd,"Taylor Swift",5A,,https://i.scdn.co/image/ab67616d0000485195f754318336a07e85ec59bc
254,"Not Strong Enough","boygenius,Julien Baker,Phoebe Bridgers,Lucy Dacus",77,127,"indie pop, ambient folk, indie rock, la indie, pov: indie, chamber pop","Folk/Acoustic, Pop, Rock","the record",2023-03-31,03:54,51,80,0,0,36,0,0,-6,C♯/D♭ Major,4,2023-10-11,09DR0sHnQUhHOiSNttc1mv,"boygenius under exclusive license to Interscope Records",3B,,https://i.scdn.co/image/ab67616d0000485143fc02bcfa7cd4e6bb66aa22
255,"Foxglove Through The Clearcut","Death Cab for Cutie",40,115,"alternative rock, chamber pop, indie rock, indietronica, modern rock, seattle indie, washington indie","Rock, Pop","Asphalt Meadows",2022-09-16,05:15,64,51,17,42,31,0,10,-11,A Major,3,2023-10-11,23od4rorIdhvYeLL7YqP9n,"Atlantic Records",11B,https://p.scdn.co/mp3-preview/ae3580b413b5946d51974aad1d647f217764fa56?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b808f709e7d5ed8e79cec246
256,"Speeding 72","Momma",47,127,"bubblegrunge, indie rock, small room","Rock","Household Name",2022-07-01,03:58,58,80,1,18,79,0,30,-6,D Major,4,2023-10-11,2QYmaiPbbXxXMBrvWj34m0,"Polyvinyl Records",10B,https://p.scdn.co/mp3-preview/248e486bb22508b1911450fc5ca7aa10f8253a78?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851088d81927483865772a923cd
257,"Savior Complex","Phoebe Bridgers",71,129,"indie pop, la indie, pov: indie","Pop","Punisher",2020-06-18,04:01,38,44,93,2,22,0,10,-12,E Major,3,2023-10-11,5BN59BDczcpxstFKILIH0q,"Dead Oceans",12B,https://p.scdn.co/mp3-preview/7d7d2f90c4b4bfe4048d7d2b1aec30a597f4c418?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a91b75c9ef65ed8d760ff600
258,"Meshuggah","Unknown Mortal Orchestra",50,123,"art pop, indie rock, indie soul, indietronica, kiwi rock, neo-psychedelic, portland hip hop, psychedelic pop","Pop, Rock, R&B, Folk/Acoustic, Hip Hop","V",2023-03-17,04:37,76,57,24,37,41,0,30,-7,F#/G♭ Major,4,2023-10-11,7FpD6W73sZuEEp4dNRCwy9,"Jagjaguwar",2B,https://p.scdn.co/mp3-preview/7f91bf17e7a6fdabe9ed3b56d839db836362cb0b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485131b65d25e03fc22dfe5c66e5
259,"Tibetan Pop Stars","Hop Along",0,123,"bubblegrunge, chamber pop, indie punk, indie rock, philly indie","Rock, Pop","Get Disowned",2012-05-05,04:21,56,71,7,0,56,0,0,-7,E Major,4,2023-10-11,3MVL733KX2m9G76qPnTttk,"Saddle Creek",12B,,https://i.scdn.co/image/ab67616d000048515284e77c9fed8fe0aac4e570
260,"I Won’t Always Love You - Live at Bush Hall","Black Country, New Road",44,125,"crank wave, indie rock, london indie, uk post-punk revival","Rock","Live at Bush Hall",2023-03-24,04:10,34,48,66,0,17,0,70,-9,C Minor,4,2023-10-11,3ZHwrNCXmQzaptxh5Z4jEI,"Ninja Tune",5A,https://p.scdn.co/mp3-preview/de01dc89f6de950087923e5a78f473757d2eaea9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b321f97b68c6b5bd23ba0cdb
261,"Satanist","boygenius,Julien Baker,Phoebe Bridgers,Lucy Dacus",64,125,"indie pop, ambient folk, indie rock, la indie, pov: indie, chamber pop","Folk/Acoustic, Pop, Rock","the record",2023-03-31,04:50,41,71,0,0,34,0,0,-8,D Major,4,2023-10-11,4QEsxFZRA3RnjQAPYS3UXa,"boygenius under exclusive license to Interscope Records",10B,,https://i.scdn.co/image/ab67616d0000485143fc02bcfa7cd4e6bb66aa22
262,"Seventeen","Sharon Van Etten",0,127,"art pop, chamber pop, indie rock, melancholia, new jersey indie, singer-songwriter","Pop, Rock, Folk/Acoustic","Remind Me Tomorrow",2019-01-18,04:25,54,77,2,21,24,0,0,-7,F Major,4,2023-10-11,7yMYqHqzye8vtyiHqdVlZw,"Jagjaguwar",7B,,https://i.scdn.co/image/ab67616d00004851eaf51925f9dde8f871647b24
263,"Tenderness","Parquet Courts",0,98,"alternative rock, american post-punk, brooklyn indie, chamber pop, crank wave, denton tx indie, indie rock, lo-fi, neo-psychedelic, noise pop, noise rock","Rock, Pop, Country, Folk/Acoustic","Wide Awake!",2018-05-18,03:06,72,74,17,0,95,0,0,-4,G Major,4,2023-10-11,2wF5p2dfUbEiqAnCRVNwmK,"Rough Trade",9B,,https://i.scdn.co/image/ab67616d000048511317be574cc7f4cad6eb4f27
264,"The Incident","Yard Act",35,130,"crank wave, uk post-punk revival","Rock","The Overload",2022-01-21,03:10,71,93,11,0,96,0,50,-4,F#/G♭ Minor,4,2023-10-11,510c9dNeO47gmcyDrmh2xf,"Universal-Island Records Ltd.",11A,,https://i.scdn.co/image/ab67616d00004851e9cb95bcfb8b7ce00a2c2fa0
265,"Angels","Nilüfer Yanya",24,116,"art pop, uk alternative pop","Pop","Miss Universe",2019-03-22,03:56,76,52,7,0,80,0,10,-7,G#/A♭ Minor,3,2023-10-11,46Gxyrs7rv0xp2Iz3oZnUt,"ATO Records",1A,https://p.scdn.co/mp3-preview/767b9941592fbd9b76e761c3af1c127d6c17dc50?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519c715b48db2048c942e2713c
266,"Tropic Morning News","The National",59,144,"chamber pop, indie folk, indie rock, indietronica, modern rock","Pop, Folk/Acoustic, Rock","First Two Pages of Frankenstein",2023-04-28,05:09,56,82,3,1,72,0,0,-7,F#/G♭ Minor,4,2023-10-11,6oYXnC1pi6S8GJF32jvdmx,"4AD",11A,https://p.scdn.co/mp3-preview/444c4aa854912d1837627c805e8c8f6d16fbb2cd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851364c819937072957a9220847
267,"West Coast","Lana Del Rey",86,123,"art pop, pop","Pop","Ultraviolence (Deluxe)",2014-01-01,04:16,53,59,19,2,46,0,0,-8,F#/G♭ Minor,4,2023-10-11,5Y6nVaayzitvsD5F7nr3DV,"Polydor Records",11A,,https://i.scdn.co/image/ab67616d000048511624590458126fc8b8c64c2f
268,"Under The Table","Fiona Apple",59,120,"art pop, chamber pop, dark pop, lilith, permanent wave, piano rock, singer-songwriter","Pop, Folk/Acoustic, Rock","Fetch The Bolt Cutters",2020-04-17,03:21,64,49,30,0,55,0,20,-8,C Major,4,2023-10-11,12WhIX6MvI93bS3wPSStSY,"Epic",8B,https://p.scdn.co/mp3-preview/e66998706f238756ee032d6fd2f1ef5ded89cded?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851841292c1316c4bf85447bcd9
269,"Grease In Your Hair","The National",53,147,"chamber pop, indie folk, indie rock, indietronica, modern rock","Pop, Folk/Acoustic, Rock","First Two Pages of Frankenstein",2023-04-28,03:57,56,76,17,18,40,0,0,-7,G Major,4,2023-10-11,5umWFm8z7wv3tPYc8Vw321,"4AD",9B,https://p.scdn.co/mp3-preview/bc12bed7b73480ac7038e3304c99ce0002b486ef?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851364c819937072957a9220847
270,"A&W","Lana Del Rey",76,161,"art pop, pop","Pop","Did you know that there's a tunnel under Ocean Blvd",2023-03-24,07:13,42,25,67,38,14,10,10,-15,A#/B♭ Major,4,2023-10-11,5nW4z3pfZgJAJ2QTCz9AIE,"Polydor Records",6B,,https://i.scdn.co/image/ab67616d0000485159ae8cf65d498afdd5585634
271,"Billie Toppy","Men I Trust",65,169,"indie pop, pov: indie","Pop","Billie Toppy",2022-09-28,03:15,68,69,55,82,62,0,10,-11,G Major,4,2023-10-11,5jyj2XKWILHQxDoz59ddCT,"Independent",9B,https://p.scdn.co/mp3-preview/c6de1ae1cbddfc776328d9611e784f5aed23f383?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d656b18c4468ee151d885b81
272,"I Forget Where We Were","Ben Howard",60,113,"british singer-songwriter, folk-pop, stomp and holler","Folk/Acoustic, Pop","I Forget Where We Were",2014-10-20,04:41,31,46,48,12,18,0,0,-10,C Major,4,2023-10-11,7gYwIAHB6VxzLJFSZMMv8i,"Universal-Island Records Ltd.",8B,,https://i.scdn.co/image/ab67616d000048516b66e9099c7a66e58658f512
273,"Alien","The National",55,176,"chamber pop, indie folk, indie rock, indietronica, modern rock","Pop, Folk/Acoustic, Rock","First Two Pages of Frankenstein",2023-04-28,04:07,52,62,42,20,35,10,10,-10,F Minor,4,2023-10-11,0qombVfkoyakHvmYg65IUa,"4AD",4A,https://p.scdn.co/mp3-preview/00ad4a3a4c9710af36c1f545d01b4d4d9d684df5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851364c819937072957a9220847
274,"Winter Solstice - Braxe + Falcon Remix","Phoenix,Braxe + Falcon,Alan Braxe,DJ Falcon",55,114,"alternative dance, indie rock, modern rock, neo-synthpop, new rave, rock independant francais, shimmer pop, filter house, ","Rock, Electronic, Pop","Winter Solstice (Braxe + Falcon Remix)",2023-05-26,04:00,77,57,35,46,33,0,10,-10,C♯/D♭ Minor,4,2023-10-11,5Wa4A6bu00160DzJWdyiC7,"Glassnote Entertainment Group LLC",12A,https://p.scdn.co/mp3-preview/f3573da064651faf20729ddc197bad96efdbceb9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c920744707b8fa38844a35a3
275,"Track 10","Charli XCX",46,100,"art pop, candy pop, metropopolis, pop, uk pop","Pop, Electronic","Pop 2",2017-12-15,05:26,64,65,21,0,27,0,0,-5,F Major,4,2023-10-11,4t9PBD27dndlf6YMBK2ROc,"Atlantic Records UK",7B,https://p.scdn.co/mp3-preview/842eda7efcdfe775c18244b201bbd66640765f3f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c61a793955ac590e672eafe8
276,"Greatest Hits","Jockstrap",50,96,"crank wave, london indie","Rock","I Love You Jennifer B",2022-09-09,04:27,70,79,8,42,76,0,0,-8,C♯/D♭ Major,4,2023-10-11,5eWKybWrLV0JyI2rU0NfA1,"Rough Trade",3B,https://p.scdn.co/mp3-preview/5ad06fea01dc0d42035b064f182e238d72ef53a7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485142d0304232c61d1530b40ca1
277,"Light Years","The National",63,125,"chamber pop, indie folk, indie rock, indietronica, modern rock","Pop, Folk/Acoustic, Rock","I Am Easy to Find",2019-05-17,03:33,54,32,95,67,18,0,10,-12,E Major,4,2023-10-11,2GNj9KRwpxBWgEiPQc3jEj,"4AD",12B,https://p.scdn.co/mp3-preview/faee7bd0b9ef7eeb18eb9c0a2a52957a458c9166?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515c2e10b9ce8020e55ee73b21
278,"Babyyy","Grace Ives",56,138,"experimental indie","Folk/Acoustic","Really Hot",2016-10-06,01:46,77,39,84,91,59,0,10,-17,C♯/D♭ Major,4,2023-10-11,6lMxGGVsO1JAdzk0z6Q3Rh,"Grace Ives Music",3B,https://p.scdn.co/mp3-preview/09058bf8ab63b161d4c857be95a77ea02d0c489f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ff80c6995f24d499e1c6a25b
279,"Paul","Big Thief",15,124,"art pop, brooklyn indie, chamber pop, countrygaze, indie pop, indie rock, singer-songwriter, small room","Pop, Rock, Folk/Acoustic","Masterpiece",2016-05-27,03:03,45,26,20,0,17,0,10,-12,B Major,4,2023-10-11,4AA4xt0NvJCUaJYh9SoZ1y,"Saddle Creek",1B,,https://i.scdn.co/image/ab67616d0000485140de10f57f00a7b22e0f1c67
280,"High and Dry","Radiohead",79,88,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock","Rock, Folk/Acoustic","The Bends",1995-03-13,04:17,42,38,7,2,35,0,0,-12,E Major,4,2023-10-11,2a1iMaoWQ5MnvLFBDv4qkf,"XL Recordings",12B,https://p.scdn.co/mp3-preview/ae7ca2c6a3471d6b591ad0d1d0f83dc311afd1c4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519293c743fa542094336c5e12
281,"mirrorball","Taylor Swift",81,110,"pop","Pop","folklore",2020-07-24,03:28,55,41,69,0,38,0,0,-10,D Major,4,2023-10-11,0ZNU020wNYvgW84iljPkPP,"Taylor Swift",10B,,https://i.scdn.co/image/ab67616d0000485195f754318336a07e85ec59bc
282,"Sculptures Of Anything Goes","Arctic Monkeys",69,72,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","The Car",2022-10-21,03:59,59,31,70,1,26,0,10,-11,E Minor,4,2023-10-11,5hljqZrl0h7RcIhUnOPuve,"Domino Recording Co",9A,https://p.scdn.co/mp3-preview/b98109ccb95bb8056be81ebcb7db9c040d9b8671?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485107823ee6237208c835802663
283,"Haldern","Black Country, New Road",51,81,"crank wave, indie rock, london indie, uk post-punk revival","Rock","Ants From Up There",2022-02-04,05:05,37,32,63,19,12,0,0,-11,E Major,4,2023-10-11,4EVwKp8hDRmxrT6Dzu6aBc,"Ninja Tune",12B,https://p.scdn.co/mp3-preview/2b990595e9876514b4fa13fb97e1a1a134e71d7d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851af2d88c14cb157d6b851dbb3
284,"MUD","Slow Pulp",58,142,"bubblegrunge, chicago indie, countrygaze, nu gaze","Rock, Folk/Acoustic","Yard",2023-09-29,04:06,49,63,19,0,68,0,20,-7,G#/A♭ Major,4,2023-10-26,4TaDzzRy2PUQn8wAG6Fvpw,"Anti/Epitaph",4B,https://p.scdn.co/mp3-preview/95a9418dcc0d55d5d9df2707407081bfe770c0b1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514c7fbbe6e8e9b8107657c30e
